,Name,Rank
0,Isaiah Livers,48
1,Sandro Mamukelashvili,49
2,Corey Kispert,34
3,Jericho Sims,47
4,Davion Mitchell,5
5,Luka Garza,19
6,Herbert Jones,43
7,Marcus Zegarowski,18
8,Quentin Grimes,13
9,Trey Murphy III,32
10,Jason Preston,15
11,Raiquan Gray,20
12,Charles Bassey,24
13,Dalano Banton,36
14,Jared Butler,8
15,Kessler Edwards,29
16,Ayo Dosunmu,12
17,Aaron Wiggins,30
18,Joe Wieskamp,10
19,Neemias Queta,14
20,James Bouknight,31
21,Franz Wagner,37
22,David Johnson,39
23,Nah'Shon Hyland,22
24,Chris Duarte,28
25,Tre Mann,41
26,Scottie Lewis,40
27,Santi Aldama,27
28,Miles McBride,33
29,Jeremiah Robinson-Earl,45
30,Kai Jones,17
31,Cade Cunningham,2
32,Scottie Barnes,25
33,Joshua Primo,26
34,Josh Christopher,16
35,Sharife Cooper,38
36,Ziaire Williams,7
37,Jalen Suggs,1
38,Evan Mobley,3
39,Moses Moody,35
40,JT Thor,11
41,Jalen Johnson,21
42,Jaden Springer,9
43,Cameron Thomas,6
44,Day'Ron Sharpe,4
45,Isaiah Jackson,46
46,Greg Brown III,42
47,Keon Johnson,44
48,Brandon Boston Jr.,23
