,Name,Rank
0,Grant Riller,61
1,Cassius Winston,75
2,Malachi Flynn,12
3,Udoka Azubuike,27
4,Desmond Bane,71
5,Jalen Harris,25
6,Elijah Hughes,26
7,Payton Pritchard,51
8,Sam Merrill,76
9,Justinian Jessup,79
10,Skylar Mays,59
11,Isaiah Livers,55
12,Saben Lee,43
13,Sandro Mamukelashvili,38
14,Jordan Nwora,24
15,Paul Reed,8
16,Corey Kispert,45
17,Jericho Sims,47
18,Davion Mitchell,69
19,Luka Garza,3
20,Nick Richards,53
21,Xavier Tillman,5
22,Herbert Jones,56
23,Tyler Bey,17
24,Obi Toppin,6
25,Jalen Smith,35
26,Marcus Zegarowski,52
27,CJ Elleby,49
28,Immanuel Quickley,68
29,Quentin Grimes,64
30,Tyrese Haliburton,11
31,Trey Murphy III,78
32,Jason Preston,73
33,Raiquan Gray,74
34,Charles Bassey,60
35,Tre Jones,50
36,Saddiq Bey,62
37,Robert Woodard II,65
38,Reggie Perry,41
39,Filip Petrusev,57
40,Daniel Oturu,29
41,Jared Butler,40
42,Aaron Nesmith,16
43,Devin Vassell,58
44,Kessler Edwards,72
45,Ayo Dosunmu,54
46,Aaron Wiggins,77
47,Joe Wieskamp,67
48,Kira Lewis Jr.,48
49,Isaiah Joe,63
50,Neemias Queta,44
51,James Bouknight,42
52,Cole Anthony,7
53,Franz Wagner,10
54,David Johnson,28
55,Zeke Nnaji,18
56,Precious Achiuwa,19
57,James Wiseman,1
58,Tyrell Terry,23
59,Isaac Okoro,14
60,Nah'Shon Hyland,66
61,Chris Duarte,36
62,Tre Mann,70
63,Scottie Lewis,31
64,Cassius Stanley,21
65,Santi Aldama,20
66,Jahmi'us Ramsey,15
67,Onyeka Okongwu,2
68,Nico Mannion,46
69,Josh Green,22
70,Jaden McDaniels,39
71,Isaiah Stewart,13
72,Vernon Carey Jr.,4
73,Miles McBride,32
74,Jeremiah Robinson-Earl,34
75,Anthony Edwards,9
76,Tyrese Maxey,37
77,Kai Jones,30
78,Patrick Williams,33
